Employee_ID,Name,Age,Department,City,Salary,Joining_Date,Email,Phone_Number,Performance_Score,Bonus_Percentage,Work_Hours_Per_Week,Status,Remarks
49,Robert Johnson,120.0,IT,Kannur,34551.0,2019/09/22,invalidemail.com,1067228060,1.0,15.0,50.0,Active,Good
50,Robert Dalton,,,Thrissur,93631.0,2023/02/18,biancagraham@gmail.com,8675844424,1.0,,50.0,ACTIVE, 
466,Michael Hensley,-5.0,Finance,Thrissur,,,stacey77@yahoo.com,,,5.0,40.0,,Needs Improvement
52,Karen Nelson,30.0,IT,Kannur,52687.0,,,99999,3.0,5.0,40.0,Pending,Top Performer
53,Andrew Morrison,47.0,Marketing,Calicut,,,econtreras@gmail.com,99999,10.0,10.0,35.0,Active,Needs Improvement
54,Charles Taylor,120.0,Support,Kannur,,2025/12/29,,,4.0,20.0,35.0,ACTIVE,Good
55,Andrew Hunter,56.0,,,74626.0,2020/01/08,,2801741743,10.0,10.0,50.0,ACTIVE,
326,Ryan Moore,-5.0,Finance,Kannur,,2019/02/15,invalidemail.com,,1.0,10.0,45.0,active,
19,Kimberly Alvarez,120.0,Finance,Trivandrum,70488.0,26-07-2022,invalidemail.com,,10.0,5.0,100.0,ACTIVE,
319,James Anderson,48.0,HR,Trivandrum,,,laurengreen@gmail.com,99999,4.0,-10.0,50.0,Active,Good
8,Julie Woods,,,Kochi,58730.0,2023/10/28,jessica45@potter.com,,10.0,10.0,50.0,,Top Performer
60,Austin Stewart,,IT,Calicut,,,,,2.0,5.0,45.0,active,Top Performer
61,Brandon Clark,-5.0,,Calicut,,2025/05/04,,99999,3.0,15.0,,ACTIVE,
123,Joel Evans,-5.0,Sales,Trivandrum,42727.0,,invalidemail.com,,10.0,20.0,50.0,,Needs Improvement
63,Christine Hall,-5.0,Sales,Thrissur,34547.0,2019/05/21,sullivanjerry@smith.com,,2.0,20.0,100.0,Inactive,Good
320,Melissa Brown,120.0,,,,,invalidemail.com,99999,,-10.0,50.0,ACTIVE,Good
65,Laurie Melton,47.0,,,26968.0,,turnercody@hotmail.com,99999,2.0,-10.0,45.0,Active,Good
192,Harold Wu,,Marketing,Kannur,,,,1373119469,2.0,10.0,35.0,ACTIVE,
119,Katherine Hodges,-5.0,Finance,,49566.0,22-10-2023,invalidemail.com,99999,,,40.0,Active,
493,Elizabeth Perez,-5.0,,Trivandrum,57210.0,19-08-2023,invalidemail.com,99999,1.0,10.0,50.0,ACTIVE,Top Performer
425,Karen Turner,37.0,Marketing,,93341.0,,,0547284577,5.0,-10.0,50.0,Pending,Needs Improvement
70,Roger Sullivan,26.0,Finance,,42920.0,2019/06/29,vwagner@gmail.com,,3.0,-10.0,40.0,Active,Top Performer
71,Abigail Mccoy,120.0,,Calicut,60823.0,2020/07/24,invalidemail.com,99999,,15.0,35.0,active,Good
371,Daniel Fields,120.0,Sales,,47571.0,2019/04/29,thomasbrianna@gmail.com,99999,5.0,5.0,50.0,Pending,Top Performer
73,Ricardo Figueroa,50.0,Marketing,Thrissur,94619.0,2019/08/01,,6672894183,,5.0,100.0,active,Top Performer
156,Kent Perez,27.0,HR,Thrissur,71516.0,19-08-2025,invalidemail.com,99999,3.0,-10.0,100.0,, 
75,Ashlee Maldonado,-5.0,Finance,Kochi,,,invalidemail.com,5968260016,4.0,20.0,40.0,Pending,Good
76,Christy White,32.0,,,66147.0,2023/02/18,gravestony@yahoo.com,,2.0,-10.0,100.0,ACTIVE,Good
77,Alicia Thomas,,Marketing,Calicut,24629.0,05-02-2024,invalidemail.com,8830220891,10.0,,35.0,Pending,Needs Improvement
78,William Ortiz,28.0,Finance,,35038.0,11-01-2026,,99999,1.0,10.0,45.0,Active,Needs Improvement
79,Christina Guzman,52.0,IT,Thrissur,,03-09-2018,,5771352740,,-10.0,,Pending,
80,Richard Warner,-5.0,Sales,Kochi,,2020/06/13,,8981548435,1.0,10.0,45.0,ACTIVE, 
81,Michelle Thomas,-5.0,Sales,,67925.0,,jhart@johnson.com,,,,100.0,Inactive,
424,Christopher Adams,-5.0,Support,Kochi,,2024/02/29,invalidemail.com,99999,,15.0,45.0,Inactive,
83,Brian Brown,,Marketing,Kochi,26799.0,,,,3.0,-10.0,35.0,active,Top Performer
84,Jason Martin,42.0,Marketing,Thrissur,,23-01-2022,stacy52@yahoo.com,,4.0,10.0,35.0,Pending, 
116,Julia Hobbs,55.0,Marketing,,54512.0,,invalidemail.com,9715619770,2.0,15.0,100.0,Pending,Top Performer
337,Steve Nguyen,,Support,,175105.0,04-11-2018,garciachristopher@pittman-clayton.org,,5.0,10.0,50.0,active,
87,Joseph Sanchez,,HR,,58846.0,,blacksteven@yahoo.com,,1.0,15.0,50.0,,
88,Allison Watson,-5.0,Sales,Trivandrum,,,,,4.0,,100.0,Pending,Good
89,Martin Lewis,,,Trivandrum,46903.0,2020/12/09,invalidemail.com,0009436795,1.0,20.0,100.0,active,Needs Improvement
90,Brandon Delgado,-5.0,,,48161.0,05-03-2019,invalidemail.com,2495045056,4.0,5.0,45.0,ACTIVE,
59,Timothy Adams,120.0,HR,,,,invalidemail.com,,3.0,5.0,50.0,Active,Needs Improvement
92,Richard Riley,,Finance,,75104.0,18-03-2022,ynelson@reyes-melendez.org,,,5.0,,ACTIVE,Needs Improvement
93,Courtney Jones,,HR,Thrissur,63793.0,28-03-2026,,3319507901,2.0,-10.0,50.0,active, 
94,Stacey Garcia,,IT,Kochi,91989.0,2020/01/29,invalidemail.com,,3.0,15.0,,Active,Top Performer
95,Kelly Powell,120.0,Sales,,,08-12-2021,,,5.0,20.0,50.0,ACTIVE, 
96,Megan Weber,-5.0,Marketing,Calicut,92928.0,24-04-2022,invalidemail.com,0084828960,10.0,15.0,100.0,Active, 
97,John Franklin,120.0,Finance,Kannur,,2019/05/24,invalidemail.com,,5.0,5.0,100.0,,Top Performer
98,Mr. Hunter Donovan,,Finance,Kochi,91133.0,,,9748034427,3.0,15.0,100.0,,
287,Michael Mahoney,,Support,,,,,,1.0,-10.0,100.0,active, 
100,Christopher Jackson,-5.0,HR,Calicut,65425.0,22-06-2023,taraguerrero@myers-wallace.com,2553242203,3.0,5.0,,ACTIVE, 
101,Garrett Coleman,,,,35176.0,,antoniolowe@mcdonald.com,,4.0,5.0,50.0,Pending,Needs Improvement
102,Andre Kidd,-5.0,,Calicut,76222.0,2024/03/15,,,4.0,20.0,45.0,active, 
103,Angel Patel,36.0,Support,Kannur,87135.0,2021/04/16,,6962131264,,,35.0,Pending,Good
426,Julie Carroll,,,Kannur,39012.0,2018/11/20,wardamanda@gmail.com,99999,1.0,20.0,,Pending,Needs Improvement
105,Donald White,120.0,,Calicut,68615.0,26-06-2024,steve30@yahoo.com,99999,10.0,20.0,100.0,Inactive,
106,Miss Jody Reyes,-5.0,Sales,,76799.0,2025/02/26,joshuagoodwin@mcintyre.com,99999,1.0,5.0,40.0,active, 
107,Jennifer Turner,,Support,Calicut,83513.0,2023/11/22,invalidemail.com,6243897110,5.0,15.0,40.0,ACTIVE,
108,Linda Whitney,24.0,IT,,29221.0,2019/02/11,bullockjanice@garcia.com,,4.0,15.0,45.0,,Good
109,Billy Walton,120.0,HR,Kochi,64805.0,2018/10/09,,99999,10.0,-10.0,40.0,,
367,Michael Smith,120.0,HR,Kochi,80722.0,05-01-2023,brandon21@hernandez-bass.info,99999,3.0,,50.0,ACTIVE,
111,Jacob Ferrell,120.0,Sales,,,2019/09/19,invalidemail.com,99999,,20.0,50.0,Pending,Needs Improvement
112,Jenny Lowery,47.0,IT,Thrissur,66148.0,03-11-2020,,99999,3.0,5.0,35.0,Pending,Top Performer
354,Brandy Wagner,-5.0,Sales,,58173.0,2018/09/01,,99999,3.0,-10.0,35.0,Active,
74,Robert Reyes,,Sales,Calicut,65619.0,,invalidemail.com,99999,4.0,,35.0,ACTIVE,Needs Improvement
115,Chris Douglas,,Marketing,Trivandrum,,2022/11/23,invalidemail.com,,3.0,10.0,35.0,Active,Needs Improvement
116,Paula Love,,Marketing,Trivandrum,83410.0,,invalidemail.com,9731902171,1.0,10.0,35.0,active,Needs Improvement
117,Cynthia Miller,120.0,Finance,,59889.0,11-07-2019,,,,-10.0,40.0,Pending, 
122,Jamie Johnson DVM,120.0,Marketing,Thrissur,47391.0,2024/08/12,invalidemail.com,,2.0,,35.0,Active,Top Performer
211,Heather Page,56.0,HR,Trivandrum,80739.0,,tammymorgan@whitney-harris.info,99999,4.0,-10.0,,Pending,Needs Improvement
120,Ashley Spencer,,Finance,Calicut,90260.0,24-07-2023,invalidemail.com,,2.0,15.0,,Pending,Good
121,Eric Nichols,54.0,Marketing,,,19-02-2021,,,2.0,10.0,100.0,ACTIVE, 
122,Melissa Tran,25.0,Support,,62252.0,,invalidemail.com,,2.0,,50.0,ACTIVE,Good
123,Mrs. Sharon Dunn,,,,,,invalidemail.com,99999,4.0,5.0,100.0,Active,Needs Improvement
124,John Fowler,120.0,Support,,75619.0,2021/11/11,invalidemail.com,9391464583,10.0,15.0,,ACTIVE,Good
125,Patricia Brandt,29.0,Sales,Trivandrum,,2025/08/15,,99999,2.0,10.0,45.0,ACTIVE,Top Performer
240,Christine Lopez,-5.0,Sales,Kochi,83308.0,2024/11/14,,99999,2.0,10.0,,Pending,Good
127,Allison Perez,-5.0,HR,Trivandrum,,,invalidemail.com,99999,3.0,5.0,50.0,Active, 
38,Randy Hall,-5.0,,Thrissur,,2023/11/03,,,5.0,5.0,40.0,Active,
129,Karen Padilla,,Marketing,Thrissur,62444.0,2021/04/06,,1637413862,1.0,5.0,40.0,,Top Performer
130,Annette Gallagher,120.0,HR,Kannur,37521.0,,,99999,5.0,15.0,,ACTIVE, 
131,David Myers,120.0,Support,Kochi,,2019/07/14,,99999,10.0,-10.0,100.0,,Good
132,Amanda Franklin,-5.0,HR,Thrissur,93821.0,,,,10.0,20.0,40.0,,Needs Improvement
10,Lauren Ramirez,-5.0,HR,Kannur,22138.0,,mary83@klein.com,99999,5.0,,50.0,,Good
340,Jeffrey Mccarthy,-5.0,Finance,Calicut,,2024/08/04,,99999,5.0,15.0,100.0,,Top Performer
135,Michael Harrison,120.0,,Trivandrum,,,morriskyle@morris.com,,,20.0,45.0,active,Top Performer
63,Julie Perez,120.0,,,,05-05-2023,invalidemail.com,6165044729,3.0,-10.0,35.0,Pending,
137,Dr. Aaron Sutton,120.0,HR,Kochi,51612.0,,,,2.0,10.0,35.0,, 
138,Diane Armstrong,50.0,Support,,47579.0,06-01-2023,pruittshawn@hotmail.com,,2.0,20.0,100.0,active,
139,Steven Sanders,,Marketing,,,,shaneschmitt@yahoo.com,1016531451,4.0,10.0,35.0,active,
140,Joshua Evans,56.0,Finance,Trivandrum,42420.0,2018/08/08,,,5.0,20.0,40.0,ACTIVE,
84,Danielle Wright,,Sales,,,2018/10/04,invalidemail.com,,,10.0,40.0,ACTIVE,
142,David Scott,,IT,Trivandrum,,20-07-2024,john05@gmail.com,99999,4.0,10.0,50.0,Pending,Top Performer
143,Tanner Pearson MD,35.0,Support,Kochi,57576.0,2019/02/24,invalidemail.com,1983094679,4.0,-10.0,,,Top Performer
144,Brian Garcia,,IT,Calicut,,2025/10/14,,,3.0,20.0,100.0,ACTIVE,
145,James Mcclain,-5.0,Marketing,,88453.0,2025/10/01,johnsonkenneth@hotmail.com,,1.0,5.0,,ACTIVE,Needs Improvement
438,Cynthia Williams,,Support,Thrissur,,2020/03/01,jhines@hotmail.com,,4.0,5.0,50.0,Inactive, 
147,Roy Morrow,-5.0,Finance,,25567.0,27-07-2021,,1791255983,5.0,5.0,35.0,active,Top Performer
479,Patrick Gomez,120.0,IT,Calicut,26357.0,11-02-2025,,,,20.0,45.0,active,
149,Natalie Walker,,Marketing,Kannur,67479.0,,amber92@yahoo.com,,2.0,5.0,35.0,Pending,
127,Daniel Vasquez,,Finance,Calicut,89361.0,,cadams@yahoo.com,7107831382,10.0,-10.0,50.0,ACTIVE,Good
18,Kristen Willis,58.0,HR,,31224.0,19-03-2026,invalidemail.com,99999,2.0,,40.0,Active,Needs Improvement
152,Linda Villarreal,120.0,HR,Trivandrum,48692.0,21-11-2019,,,2.0,20.0,45.0,Pending,Good
348,David Shepherd,-5.0,Sales,Trivandrum,40955.0,,,99999,10.0,,45.0,,
387,Sheryl Kelly,,Finance,,71511.0,,stricklandjenna@yahoo.com,99999,1.0,,50.0,active, 
155,Dean Harris,-5.0,,Trivandrum,,14-03-2020,,,10.0,10.0,35.0,Pending,
156,Emily Valentine,,,Trivandrum,42662.0,2022/09/22,mmoreno@gmail.com,9033487890,2.0,-10.0,35.0,,
157,Patricia Park,120.0,,Trivandrum,,2020/12/28,invalidemail.com,,,15.0,45.0,Pending,Top Performer
412,Rebecca Jones,,Finance,Trivandrum,85215.0,2022/04/22,welchryan@hotmail.com,,10.0,10.0,100.0,Inactive,Good
369,Jacob Grimes,,HR,Trivandrum,94550.0,22-01-2020,invalidemail.com,,10.0,10.0,50.0,ACTIVE,Top Performer
329,Clifford Peterson,,Support,,82044.0,2024/11/14,brenda45@hotmail.com,8331117420,,,50.0,Inactive, 
161,Emily Garcia,,,,27742.0,25-12-2022,butlermaurice@yahoo.com,,2.0,5.0,40.0,ACTIVE,
162,Stephanie Morton,-5.0,Sales,Kochi,81334.0,,,99999,5.0,15.0,35.0,ACTIVE,
163,Tamara Shaw,120.0,,Trivandrum,30624.0,2022/04/30,invalidemail.com,0876613372,3.0,20.0,50.0,ACTIVE,Needs Improvement
164,Michael Shannon,-5.0,IT,Kannur,28566.0,,invalidemail.com,6963322596,,5.0,100.0,Inactive,Good
165,Joseph Baxter,53.0,HR,Calicut,61420.0,,,99999,3.0,5.0,35.0,,Top Performer
166,Henry Simmons,,Marketing,Calicut,89176.0,,invalidemail.com,3299606008,3.0,10.0,,Inactive, 
167,Kelly Munoz,120.0,Sales,Kochi,,2024/07/06,ulopez@hotmail.com,5247045392,3.0,,,ACTIVE,
168,James Lindsey,-5.0,IT,Calicut,,,,,4.0,5.0,,Pending,Needs Improvement
169,Melinda Rocha,120.0,Finance,Kochi,,21-08-2024,marcus94@hotmail.com,99999,4.0,15.0,45.0,Active,Needs Improvement
285,Glen Wood,26.0,Sales,Trivandrum,76830.0,,beverly26@hotmail.com,,5.0,15.0,50.0,Active,Top Performer
171,Leroy Stanley,,Support,Kannur,29101.0,18-03-2023,samantha75@todd.com,99999,3.0,15.0,50.0,Inactive,Good
172,Kristen Rose,120.0,HR,,,,invalidemail.com,,5.0,10.0,50.0,Active,Needs Improvement
431,William Werner,-5.0,Finance,Kannur,,,,4880675261,3.0,15.0,,,Needs Improvement
150,Mary Brown,,Finance,Kannur,,2024/03/05,invalidemail.com,99999,1.0,,40.0,ACTIVE, 
488,Elizabeth Chavez,-5.0,,Trivandrum,41583.0,,ericksonlawrence@mills-jones.com,99999,,20.0,40.0,,Top Performer
217,Lee Chavez,-5.0,Marketing,Kannur,38203.0,,invalidemail.com,,5.0,-10.0,50.0,ACTIVE,Good
177,Leslie Campbell,,Support,,88373.0,2023/01/03,elizabeth02@smith-armstrong.com,,5.0,5.0,,,
178,Troy Morrison,,Marketing,,61463.0,,,,,,40.0,active,Top Performer
179,Andrew Castillo,50.0,Finance,Kannur,69266.0,05-01-2023,paula46@nichols-hodges.com,,2.0,15.0,45.0,Pending,
50,Eric Bentley,120.0,Sales,Trivandrum,,03-07-2025,,2568445426,1.0,15.0,100.0,Active,Needs Improvement
170,Ivan Carroll,,,Kannur,49970.0,,justin14@mitchell.com,0847732880,,-10.0,50.0,active,Good
182,Mary Pratt,120.0,,,,28-06-2018,,9251556937,10.0,,40.0,Pending,Top Performer
442,Amy Beck,120.0,Marketing,Kannur,52387.0,,invalidemail.com,,1.0,15.0,45.0,active, 
184,Kenneth Hernandez,120.0,Sales,Calicut,56986.0,2020/10/25,ian58@vang-shields.org,3495364228,3.0,-10.0,40.0,ACTIVE,
185,David Baker,,Marketing,Calicut,,2019/08/17,invalidemail.com,6358074495,2.0,15.0,50.0,ACTIVE,Good
100,Melissa Black,-5.0,IT,,65059.0,2023/11/15,invalidemail.com,,10.0,20.0,50.0,Inactive,Good
187,Ashley Mitchell,120.0,HR,,,2022/01/13,,,10.0,20.0,,ACTIVE,Good
188,Jessica Zimmerman,,IT,Kochi,,,,8389226357,3.0,5.0,50.0,Pending,Top Performer
189,Cheryl Sutton,,Marketing,Calicut,29401.0,30-06-2018,janet44@yahoo.com,2023091803,5.0,15.0,,Pending, 
190,Karen Shah,52.0,HR,,,2020/04/07,gravesandre@dunn.org,99999,10.0,-10.0,40.0,,Needs Improvement
390,Mark Williams,,Marketing,,50725.0,2019/02/04,,99999,4.0,20.0,35.0,,Good
192,Brian Jones,-5.0,Finance,Thrissur,54467.0,18-04-2019,,2257488080,,20.0,100.0,,Top Performer
496,Stacey Bradley DDS,-5.0,Finance,Trivandrum,26300.0,2019/11/18,invalidemail.com,,5.0,10.0,,active,Top Performer
194,Daniel Rodriguez,-5.0,Sales,Kannur,24345.0,20-08-2021,,6164624384,,15.0,40.0,Pending,Good
195,Travis Sherman,-5.0,Support,Trivandrum,66738.0,,,1698004949,4.0,-10.0,35.0,,Good
196,Gregory Malone,-5.0,Sales,Kochi,18142.0,,invalidemail.com,1803704227,10.0,20.0,100.0,Inactive,
197,Betty Porter,120.0,Finance,Trivandrum,29708.0,30-08-2024,invalidemail.com,9472260304,,-10.0,40.0,Active, 
198,Joshua Berger,,IT,Thrissur,91831.0,,invalidemail.com,0211210636,1.0,5.0,40.0,Active, 
199,Abigail Gibson,120.0,Support,Kochi,,30-06-2018,,,5.0,-10.0,,Pending,Good
383,Gary Mcfarland,38.0,,,57537.0,19-10-2020,invalidemail.com,99999,1.0,10.0,50.0,, 
201,Jennifer Bolton,-5.0,,,,,invalidemail.com,99999,5.0,-10.0,40.0,active,Good
202,James Bailey,-5.0,Marketing,Trivandrum,,,,,10.0,20.0,50.0,,
203,Christopher Wade,120.0,Sales,Thrissur,88471.0,13-06-2022,davidsmith@hotmail.com,,3.0,20.0,,,Good
204,Joshua Ford,47.0,IT,Thrissur,58654.0,,john65@hotmail.com,99999,,-10.0,100.0,,Needs Improvement
205,George Carlson,120.0,Marketing,Thrissur,171938.0,,invalidemail.com,7224832943,3.0,10.0,100.0,Pending,Good
206,Maria Ramos,36.0,IT,Kannur,,,invalidemail.com,6236956386,4.0,,40.0,Pending,Needs Improvement
207,Heidi Bauer,34.0,Sales,,93223.0,20-11-2018,rmoore@gmail.com,9932081331,4.0,15.0,50.0,Inactive,Needs Improvement
208,Kelly Villarreal,120.0,Finance,,22635.0,20-12-2020,,99999,1.0,,100.0,Active,Needs Improvement
36,Kenneth Wright,120.0,Finance,Kochi,,,invalidemail.com,0867965395,3.0,10.0,45.0,ACTIVE,Top Performer
210,Susan Williamson,29.0,IT,Kochi,49795.0,01-04-2019,,99999,,-10.0,35.0,Pending,Good
211,Michael Robinson,-5.0,Sales,Calicut,67319.0,,invalidemail.com,1049396939,1.0,10.0,,active,Top Performer
212,Valerie Choi,45.0,Marketing,Thrissur,29128.0,10-05-2022,invalidemail.com,,2.0,10.0,45.0,Pending,Top Performer
213,Michael Novak,34.0,HR,Calicut,,,piercebenjamin@gmail.com,5837918560,1.0,10.0,50.0,active,Top Performer
214,Cynthia Herman,120.0,,Kochi,71282.0,31-10-2021,bradyjennifer@black.net,,3.0,-10.0,100.0,ACTIVE,Good
215,Ana Morris,-5.0,Marketing,Kochi,46183.0,,invalidemail.com,99999,10.0,10.0,35.0,active,
216,Shawn Monroe,28.0,Sales,Kochi,90869.0,24-01-2022,williamsjennifer@lopez.net,5754811371,10.0,20.0,45.0,,Good
217,John Graham,,Sales,,94326.0,2019/05/18,karl68@hotmail.com,2649932315,4.0,5.0,40.0,ACTIVE,
218,Dr. Monique Ortiz MD,,HR,Trivandrum,68165.0,2023/07/27,invalidemail.com,0000671705,1.0,,,ACTIVE,Needs Improvement
219,Dawn Edwards,-5.0,HR,Kannur,,08-09-2020,,,2.0,-10.0,,Active,
220,Eric Smith,120.0,HR,Kochi,,2025/06/06,,7556474237,1.0,15.0,35.0,active, 
221,Samantha Glenn,120.0,Marketing,,64849.0,,matthewsnyder@deleon.com,3129227368,5.0,20.0,45.0,Inactive,Needs Improvement
222,Jessica Ellis,,Marketing,Calicut,65026.0,2023/05/25,,99999,2.0,20.0,35.0,Active,Good
223,Annette Monroe,,,Calicut,20612.0,2018/06/23,,6775108663,10.0,15.0,35.0,Active,Needs Improvement
224,Christina Bryant,120.0,Support,,94888.0,2020/11/07,,3899038841,3.0,15.0,45.0,Inactive,Needs Improvement
225,Kelly Golden,120.0,HR,,81858.0,,vaughanalexander@yahoo.com,99999,3.0,-10.0,100.0,Pending,Needs Improvement
226,Shane Bartlett,120.0,,Thrissur,,02-04-2023,,,1.0,20.0,40.0,Pending,Good
227,Lee Velasquez,-5.0,Sales,Trivandrum,49194.0,12-11-2023,qsmith@gmail.com,,1.0,15.0,45.0,Active,Good
453,Monica Diaz,-5.0,Finance,Thrissur,24310.0,2023/04/19,alexandercruz@powell-potter.com,99999,10.0,,100.0,,Needs Improvement
229,Henry Marshall MD,36.0,Sales,Trivandrum,,19-03-2026,invalidemail.com,9784533475,,5.0,,Active,Top Performer
85,Tyrone Buck,30.0,Sales,Trivandrum,74534.0,31-12-2025,brianolson@richards.com,99999,,,100.0,, 
231,Adam May,-5.0,HR,Kochi,52768.0,2025/09/20,ypatterson@lang.net,99999,1.0,15.0,100.0,, 
232,Laura Phillips,-5.0,,Kochi,80957.0,2026/02/07,invalidemail.com,99999,4.0,-10.0,45.0,Active, 
96,Edward Schmidt,120.0,IT,Kannur,,2026/01/04,moralescynthia@humphrey.com,99999,5.0,5.0,40.0,,Good
234,Jennifer Lawson,55.0,,Kannur,,,invalidemail.com,,,20.0,,Inactive,
235,Emily Page,-5.0,HR,Calicut,22551.0,28-08-2022,rebecca35@yahoo.com,5620801171,1.0,20.0,35.0,,
