CustomerID,Name,Place,Age,Income,LoanAmount,CreditScore,EMI_Delay,Card_Usage,Savings,Online_Shopping,Dependents,Experience,Phone_Hours,Complaint_Count,Policy_Sales,Target
C1074,Neha,Palakkad,42,79000,360000,805,0,79,92000,Yes,2,15,3.6,0,4,1
C1075,Ajmal,Calicut,31,55000,235000,715,2,56,44000,Yes,1,8,5.1,1,2,1
C1076,Miya,Kochi,26,36000,145000,645,4,38,18000,No,0,3,7.5,3,0,0
C1077,Sharon,Thrissur,44,87000,400000,825,0,84,115000,Yes,3,19,2.9,0,5,1
C1078,Nimisha,Kollam,38,60000,245000,730,1,62,49000,Yes,2,10,4.6,1,2,1
C1079,Arif,Malappuram,33,57000,228000,710,2,55,45000,No,1,9,5.5,1,1,0
C1080,Liya,Calicut,25,33000,125000,625,5,34,15000,No,0,2,8.0,4,0,0
C1081,Sameer,Kochi,48,93000,415000,840,0,87,119000,Yes,3,22,2.5,0,5,1
C1082,Aiswarya,Trivandrum,36,65000,275000,765,1,66,56000,Yes,1,12,4.3,0,3,1
C1083,Shiyas,Kannur,28,44000,168000,655,3,43,25000,No,1,5,6.7,2,1,0
C1084,Anjali,Palakkad,41,78000,355000,800,0,77,90000,Yes,2,14,3.7,0,4,1
C1085,Irfan,Calicut,30,53000,222000,702,2,57,41000,Yes,1,7,5.2,1,2,1
C1086,Megha,Kochi,24,32000,118000,618,5,31,13000,No,0,2,8.5,5,0,0
C1087,Aslam,Thrissur,46,89000,405000,830,0,86,117000,Yes,3,21,2.6,0,5,1
C1088,Revathi,Kollam,37,59000,242000,728,1,61,48000,Yes,2,9,4.7,1,2,1
C1089,Noufal,Malappuram,34,57500,229000,712,2,55,44500,No,1,9,5.6,1,1,0
C1090,Ayana,Calicut,26,34000,128000,628,4,36,15500,No,0,3,7.9,4,0,0
C1091,Faris,Kochi,49,95000,425000,848,0,89,123000,Yes,3,24,2.3,0,5,1
C1092,Nayana,Trivandrum,35,64500,272000,762,1,64,54500,Yes,1,11,4.4,0,3,1
C1093,Shanid,Kannur,29,45500,172000,668,3,46,27500,No,1,6,6.2,2,1,0
C1094,Devika,Palakkad,43,80500,365000,808,0,80,94000,Yes,2,16,3.5,0,4,1
C1095,Adnan,Calicut,31,54800,233000,713,2,56,43800,Yes,1,8,5.3,1,2,1
C1096,Anjana,Kochi,25,33500,126000,622,5,33,14500,No,0,2,8.2,4,0,0
C1097,Rashid,Thrissur,47,90500,408000,832,0,85,116500,Yes,3,22,2.7,0,5,1
C1098,Keerthana,Kollam,38,60200,247000,732,1,63,49500,Yes,2,10,4.5,1,2,1
C1099,Shabeer,Malappuram,33,56800,227000,709,2,54,44200,No,1,8,5.4,1,1,0
C1100,Hiba,Calicut,24,,117000,619,5,32,13800,No,0,2,8.3,5,0,0
C1101,Akhil,Calicut,24,32000,120000,690,1,45,18000,Yes,0,2,3.2,0,1,0
C1102,Meera,Kochi,41,76000,350000,810,0,78,95000,Yes,2,14,5.8,1,3,1
C1103,Rahul,Trivandrum,36,54000,240000,720,2,55,42000,No,1,9,4.1,0,2,0
C1104,Fathima,Malappuram,29,48000,180000,680,3,49,30000,Yes,1,5,6.0,2,1,0
C1105,Arjun,Kannur,52,98000,420000,845,0,88,120000,Yes,3,24,2.4,0,5,1
C1106,Niya,Kasaragod,33,61000,250000,740,1,61,50000,No,2,11,4.9,1,2,1
C1107,Aswin,Calicut,27,39000,150000,650,4,40,21000,No,0,4,7.2,3,0,0
C1108,Sneha,Kochi,45,88000,390000,820,0,83,110000,Yes,2,18,3.1,0,4,1
C1109,Vivek,Thrissur,31,57000,230000,710,2,58,46000,Yes,1,8,5.4,1,2,1
C1110,Hiba,Calicut,26,35000,140000,640,5,36,17000,No,0,3,8.1,4,0,0
C1111,Adil,Kollam,39,69000,310000,790,1,70,76000,Yes,2,13,4.0,0,3,1
C1112,Anu,Palakkad,34,62000,260000,750,1,63,52000,Yes,1,10,4.8,1,2,1
C1113,Farhan,Kannur,28,43000,170000,660,3,44,26000,No,1,5,6.5,2,1,0
C1114,Diya,Kochi,47,91000,410000,835,0,85,118000,Yes,3,20,2.7,0,5,1
C1115,Junaid,Calicut,30,52000,220000,700,2,57,40000,Yes,1,7,5.0,1,2,1
C1116,Athira,Thrissur,25,34000,130000,630,4,35,16000,No,0,2,7.8,3,0,0
C1117,Nihal,Kasaragod,43,80000,370000,815,0,80,98000,Yes,2,16,3.4,0,4,1
C1118,Roshni,Kollam,37,58000,240000,725,1,60,47000,Yes,2,9,4.5,1,2,1
C1119,Shamil,Malappuram,32,56000,225000,705,2,54,43000,No,1,8,5.7,1,1,0
C1120,Hana,Calicut,24,31000,115000,620,5,32,14000,No,0,2,8.4,4,0,0
C1121,Ameen,Kochi,50,96000,430000,850,0,90,125000,Yes,3,25,2.2,0,5,1
C1122,Riya,Trivandrum,35,64000,270000,760,1,65,55000,Yes,1,11,4.2,0,2,1
C1123,Faizal,Kannur,29,45000,175000,670,3,47,28000,No,1,6,6.1,2,1,0
C1124,Neha,Palakkad,42,79000,360000,805,0,79,92000,Yes,2,15,3.6,0,4,1
C1125,Ajmal,Calicut,31,55000,235000,715,2,56,44000,Yes,1,8,5.1,1,2,1
C1126,Miya,Kochi,26,36000,145000,645,4,38,18000,No,0,3,7.5,3,0,0
C1127,Sharon,Thrissur,44,87000,400000,825,0,84,115000,Yes,3,19,2.9,0,5,1
C1128,Nimisha,Kollam,38,60000,245000,730,1,62,49000,Yes,2,10,4.6,1,2,1
C1129,Arif,Malappuram,33,57000,228000,710,2,55,45000,No,1,9,5.5,1,1,0
C1130,Liya,Calicut,25,33000,125000,625,5,34,15000,No,0,2,8.0,4,0,0
C1131,Sameer,Kochi,48,93000,415000,840,0,87,119000,Yes,3,22,2.5,0,5,1
C1132,Aiswarya,Trivandrum,36,65000,275000,765,1,66,56000,Yes,1,12,4.3,0,3,1
C1133,Shiyas,Kannur,28,44000,168000,655,3,43,25000,No,1,5,6.7,2,1,0
C1134,Anjali,Palakkad,41,78000,355000,800,0,77,90000,Yes,2,14,3.7,0,4,1
C1135,Irfan,Calicut,30,53000,222000,702,2,57,41000,Yes,1,7,5.2,1,2,1
C1136,Megha,Kochi,24,32000,118000,618,5,31,13000,No,0,2,8.5,5,0,0
C1137,Aslam,Thrissur,46,89000,405000,830,0,86,117000,Yes,3,21,2.6,0,5,1
C1138,Revathi,Kollam,37,59000,242000,728,1,61,48000,Yes,2,9,4.7,1,2,1
C1139,Noufal,Malappuram,34,57500,229000,712,2,55,44500,No,1,9,5.6,1,1,0
C1140,Ayana,Calicut,26,34000,128000,628,4,36,15500,No,0,3,7.9,4,0,0
C1141,Faris,Kochi,49,95000,425000,848,0,89,123000,Yes,3,24,2.3,0,5,1
C1142,Nayana,Trivandrum,35,64500,272000,762,1,64,54500,Yes,1,11,4.4,0,3,1
C1143,Shanid,Kannur,29,45500,172000,668,3,46,27500,No,1,6,6.2,2,1,0
C1144,Devika,Palakkad,43,80500,365000,808,0,80,94000,Yes,2,16,3.5,0,4,1
C1145,Adnan,Calicut,31,54800,233000,713,2,56,43800,Yes,1,8,5.3,1,2,1
C1146,Anjana,Kochi,25,33500,126000,622,5,33,14500,No,0,2,8.2,4,0,0
C1147,Rashid,Thrissur,47,90500,408000,832,0,85,116500,Yes,3,22,2.7,0,5,1
C1148,Keerthana,Kollam,38,60200,247000,732,1,63,49500,Yes,2,10,4.5,1,2,1
C1149,Shabeer,Malappuram,33,56800,227000,709,2,54,44200,No,1,8,5.4,1,1,0
C1150,Hiba,Calicut,24,31500,117000,619,5,32,13800,No,0,2,8.3,5,0,0
C1151,Zayan,Dubai,61,250000,950000,910,0,99,850000,Yes,6,38,1.0,0,12,1
C1152,Ridha,Delhi,19,12000,50000,480,9,12,1000,No,0,0,15.0,12,0,0
C1153,Alan,Bangalore,55,180000,720000,890,0,92,500000,Yes,4,30,1.8,0,8,1
C1154,Mila,Mumbai,22,18000,85000,510,7,18,2500,No,0,1,12.5,8,0,0
C1155,Akhil,Calicut,24,32000,120000,690,1,45,18000,Yes,0,2,3.2,0,1,0
C1156,Meera,Kochi,41,76000,350000,810,0,78,95000,Yes,2,14,5.8,1,3,1
C1157,Rahul,Trivandrum,36,54000,240000,720,2,55,42000,No,1,9,4.1,0,2,0
C1158,Fathima,Malappuram,29,48000,180000,680,3,49,30000,Yes,1,5,6.0,2,1,0
C1159,Arjun,Kannur,52,98000,420000,845,0,88,120000,Yes,3,24,2.4,0,5,1
C1160,Niya,Kasaragod,33,61000,250000,740,1,61,50000,No,2,11,4.9,1,2,1
C1161,Aswin,Calicut,27,39000,150000,650,4,40,21000,No,0,4,7.2,3,0,0
C1162,Sneha,Kochi,45,88000,390000,820,0,83,110000,Yes,2,18,3.1,0,4,1
C1163,Vivek,Thrissur,31,57000,230000,710,2,58,46000,Yes,1,8,5.4,1,2,1
C1164,Hiba,Calicut,26,35000,140000,640,5,36,17000,No,0,3,8.1,4,0,0
C1165,Adil,Kollam,39,69000,310000,790,1,70,76000,Yes,2,13,4.0,0,3,1
C1166,Anu,Palakkad,34,62000,260000,750,1,63,52000,Yes,1,10,4.8,1,2,1
C1167,Farhan,Kannur,28,43000,170000,660,3,44,26000,No,1,5,6.5,2,1,0
C1168,Diya,Kochi,47,91000,410000,835,0,85,118000,Yes,3,20,2.7,0,5,1
C1169,Junaid,Calicut,30,52000,220000,700,2,57,40000,Yes,1,7,5.0,1,2,1
C1170,Athira,Thrissur,25,34000,130000,630,4,35,16000,No,0,2,7.8,3,0,0
C1171,Nihal,Kasaragod,43,80000,370000,815,0,80,98000,Yes,2,16,3.4,0,4,1
C1172,Roshni,Kollam,37,58000,240000,725,1,60,47000,Yes,2,9,4.5,1,2,1
C1173,Shamil,Malappuram,32,56000,225000,705,2,54,43000,No,1,8,5.7,1,1,0
C1174,Hana,Calicut,24,31000,115000,620,5,32,14000,No,0,2,8.4,4,0,0
C1175,Ameen,Kochi,50,96000,430000,850,0,90,125000,Yes,3,25,2.2,0,5,1
C1176,Riya,Trivandrum,35,64000,270000,760,1,65,55000,Yes,1,11,4.2,0,2,1
C1177,Faizal,Kannur,29,45000,175000,670,3,47,28000,No,1,6,6.1,2,1,0
C1178,Neha,Palakkad,42,79000,360000,805,0,79,92000,Yes,2,15,3.6,0,4,1
C1179,Ajmal,Calicut,31,55000,235000,715,2,56,44000,Yes,1,8,5.1,1,2,1
C1180,Miya,Kochi,26,36000,145000,645,4,38,18000,No,0,3,7.5,3,0,0
C1181,Sharon,Thrissur,44,87000,400000,825,0,84,115000,Yes,3,19,2.9,0,5,1
C1182,Nimisha,Kollam,38,60000,245000,730,1,62,49000,Yes,2,10,4.6,1,2,1
C1183,Arif,Malappuram,33,57000,228000,710,2,55,45000,No,1,9,5.5,1,1,0
C1184,Liya,Calicut,25,33000,125000,625,5,34,15000,No,0,2,8.0,4,0,0
C1185,Sameer,Kochi,48,93000,415000,840,0,87,119000,Yes,3,22,2.5,0,5,1
C1186,Aiswarya,Trivandrum,36,65000,275000,765,1,66,56000,Yes,1,12,4.3,0,3,1
C1187,Shiyas,Kannur,28,44000,168000,655,3,43,25000,No,1,5,6.7,2,1,0
C1188,Anjali,Palakkad,41,78000,355000,800,0,77,90000,Yes,2,14,3.7,0,4,1
C1189,Irfan,Calicut,30,53000,222000,702,2,57,41000,Yes,1,7,5.2,1,2,1
C1190,Megha,Kochi,24,32000,118000,618,5,31,13000,No,0,2,8.5,5,0,0
C1191,Aslam,Thrissur,46,89000,405000,830,0,86,117000,Yes,3,21,2.6,0,5,1
C1192,Revathi,Kollam,37,59000,242000,728,1,61,48000,Yes,2,9,4.7,1,2,1
C1193,Noufal,Malappuram,34,57500,229000,712,2,55,44500,No,1,9,5.6,1,1,0
C1194,Ayana,Calicut,26,34000,128000,628,4,36,15500,No,0,3,7.9,4,0,0
C1195,Faris,Kochi,49,95000,425000,848,0,89,123000,Yes,3,24,2.3,0,5,1
C1196,Nayana,Trivandrum,35,64500,272000,762,1,64,54500,Yes,1,11,4.4,0,3,1
C1197,Shanid,Kannur,29,45500,172000,668,3,46,27500,No,1,6,6.2,2,1,0
C1198,Devika,Palakkad,43,80500,365000,808,0,80,94000,Yes,2,16,3.5,0,4,1
C1199,Adnan,Calicut,31,54800,233000,713,2,56,43800,Yes,1,8,5.3,1,2,1
C1200,Anjana,Kochi,25,,126000,622,5,33,14500,No,0,2,8.2,4,0,0
C1201,Rashid,Thrissur,47,90500,408000,832,0,85,116500,Yes,3,22,2.7,0,5,1
C1202,Keerthana,Kollam,38,60200,247000,732,1,63,49500,Yes,2,10,4.5,1,2,1
C1203,Shabeer,Malappuram,33,56800,227000,709,2,54,44200,No,1,8,5.4,1,1,0
C1204,Hiba,Calicut,24,31500,117000,619,5,32,13800,No,0,2,8.3,5,0,0
C1205,Akhil,Calicut,24,32000,120000,690,1,45,18000,Yes,0,2,3.2,0,1,0
C1206,Meera,Kochi,41,76000,350000,810,0,78,95000,Yes,2,14,5.8,1,3,1
C1207,Rahul,Trivandrum,36,54000,240000,720,2,55,42000,No,1,9,4.1,0,2,0
C1208,Fathima,Malappuram,29,48000,180000,680,3,49,30000,Yes,1,5,6.0,2,1,0
C1209,Arjun,Kannur,52,98000,420000,845,0,88,120000,Yes,3,24,2.4,0,5,1
C1210,Niya,Kasaragod,33,61000,250000,740,1,61,50000,No,2,11,4.9,1,2,1
C1211,Aswin,Calicut,27,39000,150000,650,4,40,21000,No,0,4,7.2,3,0,0
C1212,Sneha,Kochi,45,88000,390000,820,0,83,110000,Yes,2,18,3.1,0,4,1
C1213,Vivek,Thrissur,31,57000,230000,710,2,58,46000,Yes,1,8,5.4,1,2,1
C1214,Hiba,Calicut,26,35000,140000,640,5,36,17000,No,0,3,8.1,4,0,0
C1215,Adil,Kollam,39,69000,310000,790,1,70,76000,Yes,2,13,4.0,0,3,1
C1216,Anu,Palakkad,34,62000,260000,750,1,63,52000,Yes,1,10,4.8,1,2,1
C1217,Farhan,Kannur,28,43000,170000,660,3,44,26000,No,1,5,6.5,2,1,0
C1218,Diya,Kochi,47,91000,410000,835,0,85,118000,Yes,3,20,2.7,0,5,1
C1219,Junaid,Calicut,30,52000,220000,700,2,57,40000,Yes,1,7,5.0,1,2,1
C1220,Athira,Thrissur,25,34000,130000,630,4,35,16000,No,0,2,7.8,3,0,0
C1221,Nihal,Kasaragod,43,80000,370000,815,0,80,98000,Yes,2,16,3.4,0,4,1
C1222,Roshni,Kollam,37,58000,240000,725,1,60,47000,Yes,2,9,4.5,1,2,1
C1223,Shamil,Malappuram,32,56000,225000,705,2,54,43000,No,1,8,5.7,1,1,0
C1224,Hana,Calicut,24,31000,115000,620,5,32,14000,No,0,2,8.4,4,0,0
C1225,Ameen,Kochi,50,96000,430000,850,0,90,125000,Yes,3,25,2.2,0,5,1
C1226,Riya,Trivandrum,35,64000,270000,760,1,65,55000,Yes,1,11,4.2,0,2,1
C1227,Faizal,Kannur,29,45000,175000,670,3,47,28000,No,1,6,6.1,2,1,0
C1228,Neha,Palakkad,42,79000,360000,805,0,79,92000,Yes,2,15,3.6,0,4,1
C1229,Ajmal,Calicut,31,55000,235000,715,2,56,44000,Yes,1,8,5.1,1,2,1
C1230,Miya,Kochi,26,36000,145000,645,4,38,18000,No,0,3,7.5,3,0,0
C1231,Sharon,Thrissur,44,87000,400000,825,0,84,115000,Yes,3,19,2.9,0,5,1
C1232,Nimisha,Kollam,38,60000,245000,730,1,62,49000,Yes,2,10,4.6,1,2,1
C1233,Arif,Malappuram,33,57000,228000,710,2,55,45000,No,1,9,5.5,1,1,0
C1234,Liya,Calicut,25,33000,125000,625,5,34,15000,No,0,2,8.0,4,0,0
C1235,Sameer,Kochi,48,93000,415000,840,0,87,119000,Yes,3,22,2.5,0,5,1
C1236,Aiswarya,Trivandrum,36,65000,275000,765,1,66,56000,Yes,1,12,4.3,0,3,1
C1237,Shiyas,Kannur,28,44000,168000,655,3,43,25000,No,1,5,6.7,2,1,0
C1238,Anjali,Palakkad,41,78000,355000,800,0,77,90000,Yes,2,14,3.7,0,4,1
C1239,Irfan,Calicut,30,53000,222000,702,2,57,41000,Yes,1,7,5.2,1,2,1
C1240,Megha,Kochi,24,32000,118000,618,5,31,13000,No,0,2,8.5,5,0,0
C1241,Aslam,Thrissur,46,89000,405000,830,0,86,117000,Yes,3,21,2.6,0,5,1
C1242,Revathi,Kollam,37,59000,242000,728,1,61,48000,Yes,2,9,4.7,1,2,1
C1243,Noufal,Malappuram,34,57500,229000,712,2,55,44500,No,1,9,5.6,1,1,0
C1244,Ayana,Calicut,26,34000,128000,628,4,36,15500,No,0,3,7.9,4,0,0
C1245,Faris,Kochi,49,95000,425000,848,0,89,123000,Yes,3,24,2.3,0,5,1
C1246,Nayana,Trivandrum,35,64500,272000,762,1,64,54500,Yes,1,11,4.4,0,3,1
C1247,Shanid,Kannur,29,45500,172000,668,3,46,27500,No,1,6,6.2,2,1,0
C1248,Devika,Palakkad,43,80500,365000,808,0,80,94000,Yes,2,16,3.5,0,4,1
C1249,Adnan,Calicut,31,54800,233000,713,2,56,43800,Yes,1,8,5.3,1,2,1
C1250,Anjana,Kochi,25,33500,126000,622,5,33,14500,No,0,2,8.2,4,0,0
C1251,Zayan,Dubai,61,250000,950000,910,0,99,850000,Yes,6,38,1.0,0,12,1
C1252,Ridha,Delhi,19,12000,50000,480,9,12,1000,No,0,0,15.0,12,0,0
C1253,Alan,Bangalore,55,180000,720000,890,0,92,500000,Yes,4,30,1.8,0,8,1
C1254,Mila,Mumbai,22,18000,85000,510,7,18,2500,No,0,1,12.5,8,0,0
C1255,Akhil,Calicut,24,32000,120000,690,1,45,18000,Yes,0,2,3.2,0,1,0
C1256,Meera,Kochi,41,76000,350000,810,0,78,95000,Yes,2,14,5.8,1,3,1
C1257,Rahul,Trivandrum,36,54000,240000,720,2,55,42000,No,1,9,4.1,0,2,0
C1258,Fathima,Malappuram,29,48000,180000,680,3,49,30000,Yes,1,5,6.0,2,1,0
C1259,Arjun,Kannur,52,98000,420000,845,0,88,120000,Yes,3,24,2.4,0,5,1
C1260,Niya,Kasaragod,33,61000,250000,740,1,61,50000,No,2,11,4.9,1,2,1
C1261,Aswin,Calicut,27,39000,150000,650,4,40,21000,No,0,4,7.2,3,0,0
C1262,Sneha,Kochi,45,88000,390000,820,0,83,110000,Yes,2,18,3.1,0,4,1
C1263,Vivek,Thrissur,31,57000,230000,710,2,58,46000,Yes,1,8,5.4,1,2,1
C1264,Hiba,Calicut,26,35000,140000,640,5,36,17000,No,0,3,8.1,4,0,0
C1265,Adil,Kollam,39,69000,310000,790,1,70,76000,Yes,2,13,4.0,0,3,1
C1266,Anu,Palakkad,34,62000,260000,750,1,63,52000,Yes,1,10,4.8,1,2,1
C1267,Farhan,Kannur,28,43000,170000,660,3,44,26000,No,1,5,6.5,2,1,0
C1268,Diya,Kochi,47,91000,410000,835,0,85,118000,Yes,3,20,2.7,0,5,1
C1269,Junaid,Calicut,30,52000,220000,700,2,57,40000,Yes,1,7,5.0,1,2,1
C1270,Athira,Thrissur,25,34000,130000,630,4,35,16000,No,0,2,7.8,3,0,0
C1271,Nihal,Kasaragod,43,80000,370000,815,0,80,98000,Yes,2,16,3.4,0,4,1
C1272,Roshni,Kollam,37,58000,240000,725,1,60,47000,Yes,2,9,4.5,1,2,1
C1273,Shamil,Malappuram,32,56000,225000,705,2,54,43000,No,1,8,5.7,1,1,0
C1274,Hana,Calicut,24,31000,115000,620,5,32,14000,No,0,2,8.4,4,0,0
C1275,Ameen,Kochi,50,96000,430000,850,0,90,125000,Yes,3,25,2.2,0,5,1
C1276,Riya,Trivandrum,35,64000,270000,760,1,65,55000,Yes,1,11,4.2,0,2,1
C1277,Faizal,Kannur,29,45000,175000,670,3,47,28000,No,1,6,6.1,2,1,0
C1278,Neha,Palakkad,42,79000,360000,805,0,79,92000,Yes,2,15,3.6,0,4,1
C1279,Ajmal,Calicut,31,55000,235000,715,2,56,44000,Yes,1,8,5.1,1,2,1
C1280,Miya,Kochi,26,36000,145000,645,4,38,18000,No,0,3,7.5,3,0,0
C1281,Sharon,Thrissur,44,87000,400000,825,0,84,115000,Yes,3,19,2.9,0,5,1
C1282,Nimisha,Kollam,38,60000,245000,730,1,62,49000,Yes,2,10,4.6,1,2,1
C1283,Arif,Malappuram,33,57000,228000,710,2,55,45000,No,1,9,5.5,1,1,0
C1284,Liya,Calicut,25,33000,125000,625,5,34,15000,No,0,2,8.0,4,0,0
